Date,USD/CNY,EUR/CNY,100JPY/CNY,HKD/CNY
2012-01-04,6.3001,8.2204,8.2198,0.81112
2012-01-05,6.3115,8.1668,8.2229,0.81266
2012-01-06,6.3166,8.0777,8.1816,0.81346
2012-01-09,6.3236,8.0221,8.2162,0.81421
2012-01-10,6.3171,8.065,8.2168,0.81344
2012-01-11,6.3155,8.0491,8.2121,0.81308
2012-01-12,6.3230,8.0372,8.2218,0.81403
2012-01-13,6.3201,8.1021,8.2288,0.81359
2012-01-16,6.3306,8.0104,8.2381,0.81497
2012-01-17,6.3250,8.0217,8.233,0.81426
2012-01-18,6.3205,8.0653,8.2314,0.81396
2012-01-19,6.3173,8.1225,8.2283,0.81386
2012-01-20,6.3138,8.1865,8.1886,0.81347
2012-01-30,6.3056,8.3199,8.2152,0.813
2012-01-31,6.3115,8.3006,8.2649,0.81363
2012-02-01,6.3103,8.2536,8.2796,0.81359
2012-02-02,6.3075,8.3186,8.2846,0.81339
2012-02-03,6.3102,8.2875,8.2795,0.81363
2012-02-06,6.3108,8.2719,8.2478,0.81376
2012-02-07,6.3116,8.2815,8.2445,0.81397
2012-02-08,6.3027,8.3552,8.1954,0.81283
2012-02-09,6.3009,8.3408,8.174,0.81257
2012-02-10,6.2937,8.359,8.1026,0.8115
2012-02-13,6.2939,8.3161,8.0945,0.81154
2012-02-14,6.2947,8.2848,8.1164,0.81174
2012-02-15,6.2958,8.262,8.0258,0.81197
2012-02-16,6.2991,8.2137,8.0279,0.81237
2012-02-17,6.2951,8.2658,7.9766,0.81184
2012-02-20,6.2938,8.321,7.9053,0.81172
2012-02-21,6.2960,8.3224,7.8991,0.81194
2012-02-22,6.2988,8.3374,7.8898,0.81227
2012-02-23,6.3031,8.3475,7.847,0.81278
2012-02-24,6.2965,8.4181,7.8652,0.81189
2012-02-27,6.2985,8.4768,7.7534,0.81223
2012-02-28,6.2961,8.4409,7.8402,0.81182
2012-02-29,6.2919,8.4799,7.8107,0.81132
2012-03-01,6.3016,8.4016,7.763,0.81251
2012-03-02,6.2980,8.3899,7.749,0.81207
2012-03-05,6.3121,8.3323,7.7378,0.81357
2012-03-06,6.3141,8.3507,7.7512,0.81331
2012-03-07,6.3213,8.2932,7.8287,0.81434
2012-03-08,6.3235,8.3113,7.7823,0.81452
2012-03-09,6.3073,8.3647,7.7272,0.81298
2012-03-12,6.3282,8.2953,7.6929,0.81569
2012-03-13,6.3259,8.3258,7.6766,0.81544
2012-03-14,6.3328,8.2773,7.6157,0.81601
2012-03-15,6.3359,8.249,7.5445,0.81616
2012-03-16,6.3200,8.265,7.563,0.81425
2012-03-19,6.3082,8.3057,7.5525,0.8126
2012-03-20,6.3029,8.3447,7.5583,0.81193
2012-03-21,6.3092,8.3695,7.5419,0.81266
2012-03-22,6.3004,8.3339,7.5522,0.81151
2012-03-23,6.2891,8.301,7.6075,0.80989
2012-03-26,6.2858,8.34,7.5938,0.80925
2012-03-27,6.2840,8.3957,7.577,0.80893
2012-03-28,6.2912,8.3881,7.5802,0.81019
2012-03-29,6.2932,8.3829,7.6074,0.81059
2012-03-30,6.2943,8.3944,7.669,0.81063
2012-04-05,6.3035,8.285,7.6541,0.81173
2012-04-06,6.3072,8.2413,7.6632,0.81232
2012-04-09,6.3021,8.2346,7.7336,0.81148
2012-04-10,6.3048,8.2656,7.7104,0.8119
2012-04-11,6.3018,8.2383,7.8036,0.81155
2012-04-12,6.2984,8.2613,7.7744,0.81117
2012-04-13,6.2879,8.2941,7.7681,0.80999
2012-04-16,6.2960,8.1939,7.7767,0.81146
2012-04-17,6.2896,8.2498,7.8127,0.81072
2012-04-18,6.2948,8.2704,7.7594,0.8112
2012-04-19,6.3004,8.2645,7.7367,0.81174
2012-04-20,6.3042,8.2916,7.7234,0.81216
2012-04-23,6.2970,8.3105,7.7259,0.81134
2012-04-24,6.3003,8.2877,7.7642,0.81181
2012-04-25,6.2923,8.3049,7.7268,0.81089
2012-04-26,6.2829,8.3082,7.7247,0.80966
2012-04-27,6.2787,8.2932,7.7362,0.80922
2012-05-02,6.2670,8.2859,7.8089,0.80784
